workDate,itemID,duration,rateApplied,payout,payType,projectName,status
"Dec 27, 2024","676ef7975c7fb9f2c53c5c8b","5m 7s","$8.25/hr","$0.71","overtimePay","ambassador_cafe","processed"
"Dec 27, 2024","676ef7975c7fb9f2c53c5c8b","33m ","$27.50/hr","$15.13","prepay","ambassador_cafe","processed"
"Dec 27, 2024","676ecd567c5ecfc76bdbdc54","6m 37s","$8.25/hr","$0.91","overtimePay","ambassador_cafe","processed"
"Dec 27, 2024","676ecd567c5ecfc76bdbdc54","33m ","$27.50/hr","$15.13","prepay","ambassador_cafe","processed"
"Dec 25, 2024","6769b311a56d025320d3a887","3m 51s","$8.25/hr","$0.53","overtimePay","assist_remove","processed"
"Dec 25, 2024","6769b311a56d025320d3a887","20m ","$27.50/hr","$9.17","prepay","assist_remove","processed"
"Dec 25, 2024","6769b3124bdcee7b1149b6b5","19m 1s","$27.50/hr","$8.72","prepay","assist_remove","processed"
"Dec 24, 2024","676a72f94dff870de12ac36f","19m 58s","$27.50/hr","$9.16","prepay","assist_remove","processed"
"Dec 24, 2024","6769b31c052fd7c77c49e3ce","40s","$8.25/hr","$0.09","overtimePay","assist_remove","processed"
"Dec 24, 2024","6769b31c052fd7c77c49e3ce","20m ","$27.50/hr","$9.17","prepay","assist_remove","processed"
"Dec 23, 2024","675f251e17b240d6567978d3","-","-","$0.00","payAdjustment","ambassador_cafe","processed"
"Dec 22, 2024","67656de683b8b1ad5c46d78f","1m 31s","$8.25/hr","$0.21","overtimePay","assist_remove","processed"
"Dec 22, 2024","67656de683b8b1ad5c46d78f","10m ","$27.50/hr","$4.58","prepay","assist_remove","processed"
"Dec 22, 2024","676562f8d3271a27d145eb22","9m 30s","$27.50/hr","$4.36","prepay","assist_remove","processed"
"Dec 22, 2024","67654e82becd85c44e27ce1b","9m 9s","$27.50/hr","$4.20","prepay","assist_remove","processed"
"Dec 22, 2024","676364c9c37c59676e925605","6m 40s","$8.25/hr","$0.92","overtimePay","assist_remove","processed"
"Dec 22, 2024","676364c9c37c59676e925605","10m ","$27.50/hr","$4.58","prepay","assist_remove","processed"
"Dec 22, 2024","67653b4d2717903eb006b44c","1m ","$8.25/hr","$0.14","overtimePay","assist_remove","processed"
"Dec 22, 2024","67653b4d2717903eb006b44c","10m ","$27.50/hr","$4.58","prepay","assist_remove","processed"
"Dec 22, 2024","67634377b6acc0539ddcf17b","1m 48s","$8.25/hr","$0.25","overtimePay","assist_remove","processed"
"Dec 22, 2024","67634377b6acc0539ddcf17b","10m ","$27.50/hr","$4.58","prepay","assist_remove","processed"
"Dec 22, 2024","6764f05cdbe9e1d4f7eed097","5m 50s","$8.25/hr","$0.80","overtimePay","assist_remove","processed"
"Dec 22, 2024","6764f05cdbe9e1d4f7eed097","10m ","$27.50/hr","$4.58","prepay","assist_remove","processed"
"Dec 22, 2024","67626f6bc007125e8031e4e4","2m 3s","$8.25/hr","$0.28","overtimePay","assist_remove","processed"
"Dec 22, 2024","67626f6bc007125e8031e4e4","10m ","$27.50/hr","$4.58","prepay","assist_remove","processed"
"Dec 21, 2024","67659a0abf7057e36192460f","29s","$8.25/hr","$0.07","overtimePay","ambassador_cafe","processed"
"Dec 21, 2024","67659a0abf7057e36192460f","38m ","$27.50/hr","$17.42","prepay","ambassador_cafe","processed"
"Dec 20, 2024","676511692b2159231a3f47d9","18m ","$8.25/hr","$2.48","trainingTask","assist_remove","processed"
"Dec 19, 2024","6763dd900594b90f0c279cac","25m 14s","$8.25/hr","$3.47","overtimePay","ambassador_cafe","processed"
"Dec 19, 2024","6763dd900594b90f0c279cac","28m ","$27.50/hr","$12.83","prepay","ambassador_cafe","processed"
"Dec 19, 2024","67643cc50dde148e110a520f","2m ","$8.25/hr","$0.28","overtimePay","ambassador_cafe","processed"
"Dec 19, 2024","67643cc50dde148e110a520f","38m ","$27.50/hr","$17.42","prepay","ambassador_cafe","processed"
"Dec 19, 2024","67645985b09cf84f01fc5872","16m 26s","$8.25/hr","$2.26","overtimePay","ambassador_cafe","processed"
"Dec 19, 2024","67645985b09cf84f01fc5872","26m ","$27.50/hr","$11.92","prepay","ambassador_cafe","processed"
"Dec 19, 2024","6763bf4acbb71af46d714f8f","43m 30s","$27.50/hr","$19.94","prepay","ambassador_cafe","processed"
"Dec 19, 2024","675f252be695a39979b0b935","20m 40s","$27.50/hr","$9.47","prepay","ambassador_cafe","processed"
"Dec 19, 2024","675f251e17b240d6567978d3","7m 28s","$8.25/hr","$1.03","overtimePay","ambassador_cafe","processed"
"Dec 19, 2024","675f251e17b240d6567978d3","24m ","$27.50/hr","$11.00","prepay","ambassador_cafe","processed"
"Dec 18, 2024","6762a96f3f5d5df8b9fa6aaa","9m 6s","$8.25/hr","$1.25","overtimePay","Airplane Gearshift","processed"
"Dec 18, 2024","6762a96f3f5d5df8b9fa6aaa","1h 49m 6s","$1.50/hr","$45.83","prepay","Airplane Gearshift","processed"
"Dec 18, 2024","67623b03d91df95d98bfffcb","1m 9s","$8.25/hr","$0.16","overtimePay","assist_remove","processed"
"Dec 18, 2024","67623b03d91df95d98bfffcb","13m ","$27.50/hr","$5.96","prepay","assist_remove","processed"
"Dec 16, 2024","67585fe1a432d82656be97d8","-","-","$0.00","payAdjustment","assist_remove","processed"
"Dec 12, 2024","675adcdb1564c8b9065b4628","25m 29s","$10.50/hr","$4.46","trainingTask","ambassador_cafe","processed"
"Dec 12, 2024","675ad437528831ec20756bb2","29m ","$10.50/hr","$5.08","trainingTask","ambassador_cafe","processed"
"Dec 11, 2024","67585fb9e2506213b850cae2","14m 53s","$27.50/hr","$6.83","prepay","assist_remove","processed"
"Dec 11, 2024","67585fbf424371b97c7b2c4d","1m 55s","$8.25/hr","$0.26","overtimePay","assist_remove","processed"
"Dec 11, 2024","67585fbf424371b97c7b2c4d","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 11, 2024","67585fb85a3a2c19f4e1a6ea","1m 24s","$8.25/hr","$0.19","overtimePay","assist_remove","processed"
"Dec 11, 2024","67585fb85a3a2c19f4e1a6ea","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 11, 2024","67585fe1a432d82656be97d8","2m 20s","$8.25/hr","$0.32","overtimePay","assist_remove","processed"
"Dec 11, 2024","67585fe1a432d82656be97d8","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 11, 2024","67585fe2d4d22e0ed4defe23","47s","$8.25/hr","$0.11","overtimePay","assist_remove","processed"
"Dec 11, 2024","67585fe2d4d22e0ed4defe23","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 11, 2024","67585fb97ba5d12747bd89fd","15m 49s","$27.50/hr","$7.25","prepay","assist_remove","processed"
"Dec 10, 2024","67585fdd2365d56e6af144c5","2m 55s","$8.25/hr","$0.40","overtimePay","assist_remove","processed"
"Dec 10, 2024","67585fdd2365d56e6af144c5","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","67585fbebfacd8a05b74743c","4m 40s","$8.25/hr","$0.64","overtimePay","assist_remove","processed"
"Dec 10, 2024","67585fbebfacd8a05b74743c","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","67585f9be0e3ecfb119afd72","5m 30s","$8.25/hr","$0.76","overtimePay","assist_remove","processed"
"Dec 10, 2024","67585f9be0e3ecfb119afd72","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","67585f9ed12d23e2ecc2bfd8","3m 47s","$8.25/hr","$0.52","overtimePay","assist_remove","processed"
"Dec 10, 2024","67585f9ed12d23e2ecc2bfd8","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","67569d5b527026fbe5f7cab3","-","-","$11.00","missionReward","-","processed"
"Dec 10, 2024","675776b0554fcb8670866067","4m 46s","$8.25/hr","$0.66","overtimePay","assist_remove","processed"
"Dec 10, 2024","675776b0554fcb8670866067","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","675776a11d664af9dce40ed0","7m 43s","$8.25/hr","$1.06","overtimePay","assist_remove","processed"
"Dec 10, 2024","675776a11d664af9dce40ed0","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","675776bbf8238224ea072112","1m 2s","$8.25/hr","$0.14","overtimePay","assist_remove","processed"
"Dec 10, 2024","675776bbf8238224ea072112","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","6757769be3391451937d77c7","4m 5s","$8.25/hr","$0.56","overtimePay","assist_remove","processed"
"Dec 10, 2024","6757769be3391451937d77c7","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 10, 2024","6757769bac3b515be4af64e5","2m 55s","$8.25/hr","$0.40","overtimePay","assist_remove","processed"
"Dec 10, 2024","6757769bac3b515be4af64e5","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 9, 2024","67572a0edfd3f433eb7c7c5c","16m 50s","$8.25/hr","$2.32","overtimePay","assist_remove","processed"
"Dec 9, 2024","67572a0edfd3f433eb7c7c5c","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 9, 2024","6755f2469f7a6594f57ee316","-","-","$0.00","payAdjustment","assist_remove","processed"
"Dec 8, 2024","67557e6633b83a846445b133","-","-","$11.00","missionReward","-","processed"
"Dec 8, 2024","6755eb024361b33807358876","9m 24s","$8.25/hr","$1.29","overtimePay","assist_remove","processed"
"Dec 8, 2024","6755eb024361b33807358876","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","6755eaebbd26004c0da2475b","7m 59s","$8.25/hr","$1.10","overtimePay","assist_remove","processed"
"Dec 8, 2024","6755eaebbd26004c0da2475b","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","6755eb0b44f5bde1d0bebbb1","15m 35s","$8.25/hr","$2.14","overtimePay","assist_remove","processed"
"Dec 8, 2024","6755eb0b44f5bde1d0bebbb1","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","6755eaff3a501dd90464d211","6m 42s","$8.25/hr","$0.92","overtimePay","assist_remove","processed"
"Dec 8, 2024","6755eaff3a501dd90464d211","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","6755eaebde5f6895b4c083af","5m 45s","$8.25/hr","$0.79","overtimePay","assist_remove","processed"
"Dec 8, 2024","6755eaebde5f6895b4c083af","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","6755f2469f7a6594f57ee316","12m 39s","$8.25/hr","$1.74","overtimePay","assist_remove","processed"
"Dec 8, 2024","6755f2469f7a6594f57ee316","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","675391c4fb1a0937d12e6d69","5s","$8.25/hr","$0.01","overtimePay","assist_remove","processed"
"Dec 8, 2024","675391c4fb1a0937d12e6d69","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","675391c65f4bd2874030770d","7m 36s","$8.25/hr","$1.05","overtimePay","assist_remove","processed"
"Dec 8, 2024","675391c65f4bd2874030770d","16m ","$27.50/hr","$7.33","prepay","assist_remove","processed"
"Dec 8, 2024","675391bcf9798bcac85e154b","11m 41s","$27.50/hr","$5.36","prepay","assist_remove","processed"
"Dec 5, 2024","674eb3d2b653d502779759ec","-","-","$59.44","missionReward","-","processed"
"Dec 5, 2024","674eb3d2b653d502779759ec","-","-","$105.56","missionReward","-","processed"
"Dec 5, 2024","6747d496f2d2cd5b13c6a003","1h 2m 33s","$8.25/hr","$8.60","overtimePay","mtlemur_astrologer","processed"
"Dec 5, 2024","6747d496f2d2cd5b13c6a003","3h ","$27.50/hr","$102.39","prepay","mtlemur_astrologer","processed"
"Dec 4, 2024","67509d08cdaf03b8b59bfc36","2h 27m 45s","$27.50/hr","$67.73","prepay","Mover Wrench","processed"
"Dec 4, 2024","674e666acd18afecf9b1f85c","2h 0m 8s","$27.50/hr","$55.07","prepay","mtlemur_astrologer","processed"
"Dec 3, 2024","674788be5f1fce22919802f9","51m 2s","$8.25/hr","$7.02","overtimePay","mtlemur_astrologer","processed"
"Dec 3, 2024","674788be5f1fce22919802f9","1h 30m ","$27.50/hr","$50.88","prepay","mtlemur_astrologer","processed"
"Dec 3, 2024","6747d4921b6af94eb842bb8f","1h 35m 21s","$27.50/hr","$43.71","prepay","mtlemur_astrologer","processed"
"Dec 2, 2024","6747d48e043fdf718c9d01b1","2h 22m 8s","$27.50/hr","$65.14","prepay","mtlemur_astrologer","processed"
"Dec 2, 2024","6747d482d26c97f36c7d0aac","1h 28m ","$8.25/hr","$12.10","overtimePay","mtlemur_astrologer","processed"
"Dec 2, 2024","6747d482d26c97f36c7d0aac","3h ","$27.50/hr","$102.39","prepay","mtlemur_astrologer","processed"
"Dec 2, 2024","6747f4f56a4e0a261fb9971d","-","-","$8.77","payAdjustment","mtlemur_astrologer","processed"
"Dec 2, 2024","674788baab9fb76f65c90ab5","-","-","$12.39","payAdjustment","mtlemur_astrologer","processed"
"Dec 2, 2024","674788b698140ab2b1f2a71e","-","-","$12.39","payAdjustment","mtlemur_astrologer","processed"
"Dec 1, 2024","6747d47f79aca3b41fe68ac4","3h ","$27.50/hr","$96.33","prepay","mtlemur_astrologer","processed"
"Nov 30, 2024","6747d47feb3ed5add1e13ef2","2h 13m 8s","$8.25/hr","$18.31","overtimePay","mtlemur_astrologer","processed"
"Nov 30, 2024","6747d47feb3ed5add1e13ef2","4h 30m ","$27.50/hr","$153.91","prepay","mtlemur_astrologer","processed"
"Nov 29, 2024","674788b698140ab2b1f2a71e","30m 21s","$8.25/hr","$4.17","overtimePay","mtlemur_astrologer","processed"
"Nov 29, 2024","674788b698140ab2b1f2a71e","1h 30m ","$27.50/hr","$28.86","prepay","mtlemur_astrologer","processed"
"Nov 28, 2024","6747f4f56a4e0a261fb9971d","1h 30m ","$27.50/hr","$32.48","prepay","mtlemur_astrologer","processed"
"Nov 28, 2024","674788baab9fb76f65c90ab5","30m 18s","$8.25/hr","$4.17","overtimePay","mtlemur_astrologer","processed"
"Nov 28, 2024","674788baab9fb76f65c90ab5","1h 30m ","$27.50/hr","$28.86","prepay","mtlemur_astrologer","processed"
"Nov 27, 2024","6747359cc20eae8dbd77ff6d","2h ","$4.95/hr","$9.90","trainingTask","Mover Wrench","processed"
